,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Jibuti,DJ,11.5,42.5,81.82,40,63,13.04,broken clouds
291,Aykhal,RU,66.0,111.5,-24.21,100,17,3.71,few clouds
292,Toora-Khem,RU,52.4675,96.11,-15.99,100,23,0.54,few clouds
293,Cedar Falls,US,42.5278,-92.4455,33.01,82,70,8.99,broken clouds
294,Carlsbad,US,33.1581,-117.3506,55.85,88,100,1.99,overcast clouds
295,Chenzhou,CN,25.8,113.0333,38.62,98,100,2.46,overcast clouds
296,Lumphat,KH,13.4878,106.9816,82.63,56,90,9.08,overcast clouds
297,Geraldton,AU,-28.7667,114.6,75.61,73,93,11.5,overcast clouds
298,Cam Ranh,VN,11.9214,109.1591,75.16,83,20,13.8,few clouds
299,Chuy,UY,-33.6971,-53.4616,70.27,46,0,1.05,clear sky
300,Lobito,AO,-12.3481,13.5456,79.97,67,48,8.68,scattered clouds
301,Santa Quiteria,BR,-4.3319,-40.1567,88.86,41,75,6.53,broken clouds
302,Buala,SB,-8.145,159.5921,80.29,80,78,5.46,broken clouds
303,Port Macquarie,AU,-31.4333,152.9167,76.96,89,99,6.71,overcast clouds
304,Carnarvon,AU,-24.8667,113.6333,80.67,74,22,19.57,few clouds
305,Hirara,JP,24.8,125.2833,68.85,63,27,16.58,scattered clouds
306,Lagos,NG,6.5833,3.75,91.72,14,99,7.38,overcast clouds
307,Talnakh,RU,69.4865,88.3972,4.21,96,100,9.26,overcast clouds
308,Ouegoa,NC,-20.35,164.4333,79.38,79,13,6.46,few clouds
309,Ketchikan,US,55.3422,-131.6461,29.89,95,100,4.07,overcast clouds
310,Lazaro Cardenas,MX,17.9583,-102.2,71.28,80,8,3.78,clear sky
311,Ler,SS,8.3018,30.1418,93.69,11,52,6.11,broken clouds
312,Umm Lajj,SA,25.0213,37.2685,73.2,30,0,11.74,clear sky
313,Caconda,AO,-13.7333,15.0667,78.82,31,84,7.23,broken clouds
314,Sorong,ID,-0.8833,131.25,80.37,77,100,14.43,overcast clouds
315,Tarancon,ES,40.0085,-3.0073,60.26,43,0,21.05,clear sky
316,Yulara,AU,-25.2406,130.9889,71.44,83,100,14.97,overcast clouds
317,Iralaya,HN,15.0,-83.2333,73.49,76,65,4.38,broken clouds
318,Taoudenni,ML,22.6783,-3.9836,83.16,8,6,15.73,clear sky
319,Matara,LK,5.9485,80.5353,78.98,74,4,7.31,clear sky
320,Dinghai,CN,26.2847,119.7936,45.52,83,100,26.98,light rain
321,Saint-Leu,RE,-21.15,55.2833,88.63,78,18,22.26,few clouds
322,Ippy,CF,6.2679,21.2247,96.04,11,36,5.14,scattered clouds
323,Mattru,SL,7.6244,-11.8332,97.16,23,94,4.79,overcast clouds
324,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,77,40,18.16,scattered clouds
325,La Ronge,CA,55.1001,-105.2842,-14.55,70,0,6.91,clear sky
326,Klyuchevskiy,RU,53.5317,119.4519,-10.84,93,96,4.59,overcast clouds
327,Riyadh,SA,24.6877,46.7219,71.74,15,0,16.15,clear sky
328,Tavda,RU,58.0425,65.2726,13.17,97,96,5.35,overcast clouds
329,Tsabong,BW,-26.0217,22.401,84.45,44,100,16.13,light rain
330,Kerema,PG,-7.9631,145.7785,76.39,84,100,5.06,heavy intensity rain
331,Nalut,LY,30.3333,10.85,58.37,16,52,14.99,broken clouds
332,Ridgecrest,US,35.6225,-117.6709,50.43,43,96,1.99,overcast clouds
333,Parkes,AU,-33.1333,148.1833,74.35,90,100,6.8,moderate rain
334,Padang,ID,-0.9492,100.3543,77.05,87,100,1.07,heavy intensity rain
335,Honiara,SB,-9.4333,159.95,77.41,88,100,3.11,overcast clouds
336,Wittmund,DE,53.5667,7.7833,47.07,92,75,23.02,broken clouds
337,Thyboron,DK,56.6985,8.2124,44.22,78,95,35.61,overcast clouds
338,Great Yarmouth,GB,52.6083,1.7305,56.3,74,64,28.7,broken clouds
339,Chornyanka,UA,46.6522,33.359,41.92,82,100,6.89,overcast clouds
340,Namatanai,PG,-3.6667,152.4333,77.56,86,99,5.01,moderate rain
341,Dutlwe,BW,-23.9833,23.9,84.24,41,92,17.69,overcast clouds
342,Jalu,LY,29.0331,21.5482,65.07,29,8,18.12,clear sky
343,Turkistan,KZ,43.0,68.0,37.96,63,0,10.89,clear sky
344,Skegness,GB,53.1436,0.3363,56.01,72,81,27.27,broken clouds
345,Baghdad,IQ,33.3406,44.4009,58.91,55,40,9.22,scattered clouds
