City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Hirara,JP,68.85,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
310,Lazaro Cardenas,MX,71.28,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
312,Umm Lajj,SA,73.2,clear sky,25.0213,37.2685,Moon light Furnished Units
315,Tarancon,ES,60.26,clear sky,40.0085,-3.0073,hotel castilla
316,Yulara,AU,71.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
317,Iralaya,HN,73.49,broken clouds,15.0,-83.2333,Iglesia morava renovada
320,Dinghai,CN,45.52,light rain,26.2847,119.7936,
324,Praia Da Vitoria,PT,63.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
327,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
331,Nalut,LY,58.37,broken clouds,30.3333,10.85,
332,Ridgecrest,US,50.43,overcast clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
333,Parkes,AU,74.35,moderate rain,-33.1333,148.1833,Station Motel
336,Wittmund,DE,47.07,broken clouds,53.5667,7.7833,Hof von Hannover
337,Thyboron,DK,44.22,overcast clouds,56.6985,8.2124,Thyborøn Hotel
338,Great Yarmouth,GB,56.3,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
339,Chornyanka,UA,41.92,overcast clouds,46.6522,33.359,Zolotoy Fazan
342,Jalu,LY,65.07,clear sky,29.0331,21.5482,صاحبة الفخامة
344,Skegness,GB,56.01,broken clouds,53.1436,0.3363,The Royal Hotel
345,Baghdad,IQ,58.91,scattered clouds,33.3406,44.4009,Baghdad Hotel
346,Urubicha,BO,70.83,moderate rain,-15.3833,-62.95,
348,Bambanglipuro,ID,65.61,moderate rain,-7.95,110.2833,Puri Brata
353,Lerwick,GB,44.6,few clouds,60.1545,-1.1494,The Lerwick Hotel
355,Idlib,SY,50.54,overcast clouds,35.9306,36.6339,مركز تسيل للتجميل
356,Hollister,US,50.14,clear sky,36.8525,-121.4016,Hollister Inn
359,Broken Hill,AU,73.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
360,Veraval,IN,73.96,clear sky,20.9,70.3667,Lords Inn Somnath
366,Dinhata,IN,61.56,overcast clouds,26.1333,89.4667,Hotel Riya
368,Awjilah,LY,65.1,broken clouds,29.1081,21.2869,
374,Comendador,DO,69.48,scattered clouds,18.8775,-71.7028,Babina De Los Santos
376,Constitucion,CL,65.75,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
377,Tala,EG,64.69,broken clouds,30.6803,30.9429,وي
380,Margate,GB,59.18,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
381,Coahuayana,MX,65.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
385,Gweru,ZW,74.57,overcast clouds,-19.45,29.8167,Suskwe Lodges
391,Pochutla,MX,68.85,clear sky,15.7432,-96.4661,Hotel Posada San Jose
392,Katsuura,JP,50.18,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
393,Sula,PH,72.81,scattered clouds,15.4573,120.3955,River Stone Hotel
399,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
419,Calvia,ES,58.08,scattered clouds,39.5657,2.5062,Castell Son Claret
420,Mizdah,LY,54.97,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
422,Oyama,JP,48.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
423,Dingle,PH,74.71,light rain,10.9995,122.6711,SEGAYA PROPERTY
425,Houma,US,63.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
426,Trinidad,BO,73.76,overcast clouds,-14.8333,-64.9,Hotel Piesta
427,Culiacan,MX,51.48,clear sky,24.7994,-107.3897,Ramada by Wyndham Hola Culiacan
428,Wabag,PG,55.83,light rain,-5.4781,143.7021,Shalom Inn
430,Tucurui,BR,74.93,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
